City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Manokwari,ID,81.63,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
572,Harper,LR,77.97,clear sky,4.375,-7.7169,Screensaver
573,Ewa Beach,US,79.02,clear sky,21.3156,-158.0072,Uncle Junior Robert
576,Innisfail,AU,95.22,clear sky,-17.5333,146.0333,Moondarra Motel
578,Mogadishu,SO,76.87,few clouds,2.0371,45.3438,Hotel Juba
590,Balud,PH,84.16,broken clouds,10.1476,123.6953,Pulchra Resort
591,Coffs Harbour,AU,76.96,broken clouds,-30.3,153.1333,Aquajet Motel
594,Buala,SB,77.54,light rain,-8.145,159.5921,Maringe Lagoon Lodge
598,Brawley,US,78.1,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
603,Dicabisagan,PH,76.57,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
608,Palauig,PH,84.27,broken clouds,15.435,119.9045,Alperi Botique Resort
609,Whitianga,NZ,75.97,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
614,Aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
616,Oussouye,SN,75.29,clear sky,12.485,-16.5469,Auberge du Routard
620,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
622,Miandrivazo,MG,79.52,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
629,Otane,NZ,79.86,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
630,Lorengau,PG,83.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
631,Lae,PG,84.54,overcast clouds,-6.7221,146.9847,Phils Hotel
634,Jamkhandi,IN,76.14,scattered clouds,16.5167,75.3,Hotel Shreyas
635,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
637,Langsa,ID,76.28,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
638,Yanam,IN,75.6,overcast clouds,16.7333,82.2167,The Regency Hotel
643,Itacurubi De La Cordillera,PY,79.5,few clouds,-25.45,-56.85,Centro Bautista de Conferencias
645,Lodwar,KE,82.26,few clouds,3.1191,35.5973,Solmar Gracious Hotel
648,Ranong,TH,85.93,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
649,Tondano,ID,78.89,broken clouds,1.3038,124.9112,Villa Bella
663,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
664,Haapiti,PF,80.33,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
666,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
671,Soyo,AO,76.39,broken clouds,-6.1349,12.3689,Hotel Mpampa
680,Moranbah,AU,93.49,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
682,Mildura,AU,86.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
683,Mucurapo,TT,75.25,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
