City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Qiyang,CN,2022-02-02 05:35:48,26.5911,111.8474,37.53,88,100,5.28
59,Punta Arenas,CL,2022-02-02 05:35:49,-53.15,-70.9167,44.71,70,75,14.97
60,Talnakh,RU,2022-02-02 05:35:49,69.4865,88.3972,2.21,96,100,7.14
61,Lavrentiya,RU,2022-02-02 05:35:50,65.5833,-171.0,-2.04,84,1,14.29
62,Qaanaaq,GL,2022-02-02 05:35:50,77.484,-69.3632,-22.85,61,96,9.22
63,Atuona,PF,2022-02-02 05:35:50,-9.8,-139.0333,78.71,75,13,20.0
64,Bluff,NZ,2022-02-02 05:35:51,-46.6,168.3333,71.8,90,94,9.75
65,Muros,ES,2022-02-02 05:35:51,42.7762,-9.0603,48.7,89,0,6.15
66,San Patricio,US,2022-02-02 05:35:52,28.017,-97.5169,63.9,87,9,7.63
67,Butaritari,KI,2022-02-02 05:35:52,3.0707,172.7902,81.9,78,30,14.92
68,Hilo,US,2022-02-02 05:33:18,19.7297,-155.09,71.33,89,75,3.44
69,Sitka,US,2022-02-02 05:35:53,57.0531,-135.33,31.89,80,100,20.71
70,Ishigaki,JP,2022-02-02 05:35:54,24.3448,124.1572,71.73,83,75,4.61
71,Tommot,RU,2022-02-02 05:35:55,58.9564,126.2925,-2.87,92,100,9.62
72,Virginia Beach,US,2022-02-02 05:34:22,36.8529,-75.978,39.0,91,20,4.61
73,Stornoway,GB,2022-02-02 05:35:56,58.2093,-6.3865,45.03,92,75,1.99
74,Trairi,BR,2022-02-02 05:35:56,-3.2778,-39.2689,75.38,90,36,6.26
75,Kaitangata,NZ,2022-02-02 05:35:56,-46.2817,169.8464,78.93,66,77,3.67
76,Tasiilaq,GL,2022-02-02 05:35:57,65.6145,-37.6368,14.16,87,100,6.46
77,Dikson,RU,2022-02-02 05:35:57,73.5069,80.5464,0.27,94,99,15.1
78,Smithers,CA,2022-02-02 05:34:05,54.7804,-127.1743,17.92,53,100,9.22
79,Scarborough,GB,2022-02-02 05:35:58,54.2797,-0.4044,48.52,86,100,1.01
80,Cayenne,GF,2022-02-02 05:35:58,4.9333,-52.3333,74.08,92,75,1.14
81,Mogzon,RU,2022-02-02 05:35:59,51.7435,111.9606,2.25,76,92,4.27
82,East London,ZA,2022-02-02 05:35:59,-33.0153,27.9116,79.74,73,0,4.61
83,Saskylakh,RU,2022-02-02 05:36:00,71.9167,114.0833,-28.26,100,44,1.68
84,Te Anau,NZ,2022-02-02 05:36:00,-45.4167,167.7167,65.73,98,100,4.5
85,Waingapu,ID,2022-02-02 05:36:00,-9.6567,120.2641,89.02,60,8,15.73
86,Jamestown,US,2022-02-02 05:31:26,42.097,-79.2353,36.72,50,40,7.0
87,Puerto Rondon,CO,2022-02-02 05:36:01,6.2805,-71.1,75.47,50,100,6.44
88,Nikolskoye,RU,2022-02-02 05:36:01,59.7035,30.7861,24.69,98,98,2.15
89,Cape Town,ZA,2022-02-02 05:35:03,-33.9258,18.4232,69.28,82,75,17.27
90,Burnie,AU,2022-02-02 05:32:22,-41.0667,145.9167,67.95,35,31,11.56
91,Bridgwater,GB,2022-02-02 05:37:03,51.1284,-3.0036,49.69,91,86,5.01
92,Vaini,TO,2022-02-02 05:37:03,-21.2,-175.2,84.36,74,20,6.91
93,Kharp,RU,2022-02-02 05:37:04,66.8014,65.8081,-16.01,100,92,0.56
94,New Norfolk,AU,2022-02-02 05:37:04,-42.7826,147.0587,68.67,34,88,4.0
95,Qingdao,CN,2022-02-02 05:37:04,36.0986,120.3719,37.0,30,0,4.47
96,Carnarvon,AU,2022-02-02 05:35:32,-24.8667,113.6333,84.27,70,99,16.11
97,Xining,CN,2022-02-02 05:32:21,36.6167,101.7667,21.96,47,19,2.1
98,Puerto Ayora,EC,2022-02-02 05:37:05,-0.7393,-90.3518,73.54,96,98,4.68
99,Araouane,ML,2022-02-02 05:37:06,18.9048,-3.5265,62.65,22,43,14.03
100,Salalah,OM,2022-02-02 05:37:06,17.0151,54.0924,73.49,49,0,3.44
101,Killybegs,IE,2022-02-02 05:37:06,54.6333,-8.45,49.44,92,100,17.4
