City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
384,Opotiki,NZ,-38.0833,177.2833,76.39,98,97,9.19,overcast clouds
385,Denpasar,ID,-8.65,115.2167,83.86,79,40,12.66,scattered clouds
386,Abilene,US,32.4487,-99.7331,57.06,49,0,19.57,clear sky
387,Malang,ID,-7.9797,112.6304,77.16,74,99,4.5,overcast clouds
388,Hobyo,SO,5.3505,48.5268,76.66,63,100,15.1,overcast clouds
389,Sorland,NO,67.667,12.6934,32.92,54,82,24.14,broken clouds
390,Chapais,CA,49.7834,-74.8492,15.58,98,100,2.13,light snow
391,Taoudenni,ML,22.6783,-3.9836,58.19,27,5,10.13,clear sky
392,Hearst,CA,49.6835,-83.6665,-14.55,91,100,11.63,overcast clouds
393,Vao,NC,-22.6667,167.4833,80.08,83,100,11.48,overcast clouds
394,Tazovskiy,RU,67.4667,78.7,-9.69,85,100,10.67,overcast clouds
395,Leshukonskoye,RU,64.8989,45.7622,17.56,97,98,5.17,overcast clouds
396,Rudbar,AF,30.15,62.6,57.51,24,0,0.81,clear sky
397,San Jose,US,37.3394,-121.895,67.87,55,40,1.99,scattered clouds
398,Pundaguitan,PH,6.3711,126.1689,81.37,77,100,10.29,overcast clouds
399,Suntar,RU,62.1444,117.6319,-4.99,91,86,4.07,overcast clouds
400,Puerto Suarez,BO,-18.95,-57.8,76.93,77,56,3.38,broken clouds
401,North Bend,US,43.4065,-124.2243,52.16,93,0,0.0,clear sky
402,Moa,CU,20.6569,-74.9403,74.05,82,12,9.55,few clouds
403,Ocampo,MX,21.65,-101.5,48.09,30,0,6.24,clear sky
404,Inuvik,CA,68.3499,-133.7218,-19.19,76,20,4.61,few clouds
405,Salalah,OM,17.0151,54.0924,69.89,73,40,5.75,scattered clouds
406,Maniitsoq,GL,65.4167,-52.9,30.13,85,100,18.86,light snow
407,Atambua,ID,-9.1061,124.8925,81.09,77,93,2.37,overcast clouds
408,Ixtapa,MX,20.7,-105.2,70.83,78,0,3.44,clear sky
409,Barahona,DO,18.2085,-71.1008,74.62,82,8,9.13,clear sky
410,Sarab,IR,38.6066,44.9883,27.05,70,7,4.12,clear sky
411,Montecristo,CO,8.2971,-74.4733,74.14,93,9,2.08,clear sky
412,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,39,75,9.22,broken clouds
413,Zheleznodorozhnyy,RU,55.7503,38.0042,32.22,92,90,6.6,snow
414,Yuzhnyy,RU,53.2542,83.6936,-7.22,71,99,4.47,smoke
415,Port Moresby,PG,-9.4431,147.1797,87.22,62,40,13.8,haze
416,Batsfjord,NO,70.6345,29.7185,25.48,71,100,13.96,light snow
417,Baghdad,IQ,33.3406,44.4009,46.31,66,0,10.36,clear sky
418,Kualakapuas,ID,-3.0091,114.3876,87.46,56,90,4.32,light rain
419,Fortuna,US,40.5982,-124.1573,53.1,83,98,2.48,overcast clouds
420,Sitka,US,57.0531,-135.33,42.69,87,100,9.22,mist
421,Ulkan,RU,57.243,107.3223,-8.61,93,100,0.72,overcast clouds
422,Pangnirtung,CA,66.1451,-65.7125,3.85,96,100,2.33,light snow
423,Puerto Escondido,MX,15.85,-97.0667,76.35,73,81,5.06,broken clouds
424,Villarrica,PY,-25.75,-56.4333,75.63,50,0,3.89,clear sky
425,Humberto De Campos,BR,-2.5983,-43.4611,76.26,92,100,3.83,overcast clouds
426,Vengerovo,RU,55.6848,76.7471,-12.46,98,61,8.66,broken clouds
427,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.86,84,33,7.49,scattered clouds
428,Yumen,CN,40.2833,97.2,31.93,33,100,18.03,overcast clouds
429,Tucuman,AR,-26.8241,-65.2226,64.4,100,100,4.61,overcast clouds
430,Belmonte,BR,-15.8631,-38.8828,79.3,88,27,1.99,scattered clouds
431,Angoram,PG,-4.0625,144.0661,79.52,89,100,1.97,overcast clouds
432,Camabatela,AO,-8.1881,15.375,59.54,85,99,1.52,overcast clouds
433,Lapeer,US,43.0514,-83.3188,37.4,93,100,11.5,overcast clouds
434,Maragogi,BR,-9.0122,-35.2225,77.47,85,36,6.73,scattered clouds
435,Tete,MZ,-16.1564,33.5867,77.09,83,20,3.44,few clouds
436,Vershino-Darasunskiy,RU,52.35,115.5167,-3.59,71,22,4.05,few clouds
437,Bakau,GM,13.4781,-16.6819,73.54,31,16,5.75,few clouds
438,Orizona,BR,-17.0314,-48.2958,66.24,94,100,2.62,overcast clouds
439,Kendari,ID,-3.945,122.4989,79.41,87,99,4.36,overcast clouds
440,Raudeberg,NO,61.9875,5.1352,39.87,88,100,11.01,light rain
441,Tual,ID,-5.6667,132.75,82.49,68,79,1.48,broken clouds
442,Goderich,CA,43.7501,-81.7165,37.2,93,100,14.97,overcast clouds
443,Ciudad Real,ES,39.0,-4.0,43.11,67,34,1.01,scattered clouds
444,Tamandare,BR,-8.7597,-35.1047,77.68,84,30,7.11,scattered clouds
445,Sambava,MG,-14.2667,50.1667,75.45,87,13,4.0,few clouds
446,Esmeraldas,BR,-19.7625,-44.3139,68.31,99,100,5.88,overcast clouds
447,Kungurtug,RU,50.5994,97.5228,-10.61,90,27,1.5,scattered clouds
448,Lovozero,RU,68.005,35.0117,18.14,96,95,6.26,light snow
449,Qaqortoq,GL,60.7167,-46.0333,28.9,88,100,9.82,overcast clouds
450,Marienburg,PL,54.0359,19.0266,29.88,71,1,7.0,clear sky
